Record Type,Date and Time,Annotation,Average Above PAR,Average Below PAR,Tau [?],Leaf Area Index [LAI],Leaf Distribuition [?],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude
SUM,9/2/2016 11:57,SCBI49C,1328.2,96.9,0.072,5.35,1,0.74,35°,39°,-77°
SUM,9/2/2016 11:59,SCBI49E,1364.2,95.9,0.069,5.11,1,0.76,35°,39°,-77°
SUM,9/2/2016 12:33,SCBI63W,1350,53.2,0.04,5.76,1,0.73,32°,39°,-77°
SUM,9/2/2016 12:35,SCBI63C,1352.6,29.3,0.021,6.19,1,0.73,32°,39°,-77°
SUM,9/2/2016 12:39,SCBI63E,1474.5,45.2,0.032,6.13,1,0.79,32°,39°,-77°
SUM,9/2/2016 13:19,SCBI47E,1358.9,74.6,0.055,5.34,1,0.73,31°,39°,-77°
SUM,9/2/2016 13:24,SCBI47C,1277.6,49.8,0.037,5.8,1,0.71,31°,39°,-77°
SUM,9/2/2016 13:29,SCBI47W,1139.6,102.9,0.092,4.13,1,0.55,31°,39°,-77°
SUM,9/2/2016 13:48,SCBI66E,1416.5,162.6,0.114,4.36,1,0.77,32°,39°,-77°
SUM,9/2/2016 13:56,SCBI66C,1213.7,62.7,0.051,4.72,1,0.64,33°,39°,-77°
SUM,9/2/2016 14:00,SCBI66W,1108.2,169.3,0.152,3.45,1,0.54,33°,39°,-77°
SUM,9/2/2016 14:13,SCBI55W,1114.2,273.3,0.244,2.95,1,0.56,34°,39°,-77°
SUM,9/2/2016 14:17,SCBI55C,1187.1,84.6,0.07,4.15,1,0.64,35°,39°,-77°
SUM,9/2/2016 14:20,SCBI55E,1206.5,67.4,0.055,4.55,1,0.66,35°,39°,-77°
SUM,9/6/2016 12:59,SCBI46E,1336.6,65.8,0.049,5.3,1,0.72,33°,39°,-77°
SUM,9/6/2016 13:02,SCBI46C,1464.9,67.8,0.046,5.63,1,0.79,33°,39°,-77°
SUM,9/6/2016 13:04,SCBI46W,1487,145.9,0.097,5.07,1,0.8,33°,39°,-77°
SUM,9/9/2016 13:02,UVAXB4-08W,1584.8,163.1,0.102,5.29,1,0.84,33°,38°,-78°
SUM,9/9/2016 13:07,UVAXB4-08C,1570.8,209.6,0.132,4.47,1,0.84,33°,38°,-78°
SUM,9/9/2016 13:14,UVAXB4-08E,1560.2,132.5,0.088,5.03,1,0.83,33°,38°,-78°
SUM,9/9/2016 14:19,UVAXA403C,1687.7,112,0.065,5.41,1,0.91,36°,38°,-78°
SUM,9/9/2016 14:23,UVAXA403W,1573.7,168.7,0.106,4.64,1,0.87,37°,38°,-78°
SUM,9/9/2016 14:26,UVAXA403E,1466,72.4,0.049,5.54,1,0.83,37°,38°,-78°
SUM,9/13/2016 14:21,MLBS69,1513.6,183.2,0.122,4.01,1,0.84,36°,37°,-80°
SUM,9/13/2016 14:47,MLBS74E,1470.3,169.7,0.118,4.02,1,0.85,39°,37°,-80°
SUM,9/16/2016 14:30,UVAXA4-1C,1878.4,223.6,0.118,4.34,1,0.91,39°,37°,-80°
SUM,9/16/2016 14:33,UVAXA4-1W,1419.5,399.5,0.276,3.01,1,0.82,39°,37°,-80°
SUM,9/16/2016 14:36,UVAXA4-1E,1397.5,132.7,0.094,4.16,1,0.82,39°,37°,-80°
